Rank,Team,2020 opponent-special-teams-points-per-game
1,Dallas,0.0
1,Atlanta,0.0
1,Washington,0.0
1,Pittsburgh,0.0
1,New Orleans,0.0
1,Las Vegas,0.0
1,Detroit,0.0
1,Chicago,0.0
1,Jacksonville,0.0
1,NY Jets,0.0
1,Houston,0.0
1,Arizona,0.0
1,New England,0.0
1,Buffalo,0.0
1,Cincinnati,0.0
1,Baltimore,0.0
1,Seattle,0.0
1,Philadelphia,0.0
19,Tampa Bay,0.4
20,Kansas City,0.4
21,Cleveland,0.4
21,LA Rams,0.4
23,Tennessee,0.4
23,Indianapolis,0.4
25,San Francisco,0.4
25,Denver,0.4
25,Carolina,0.4
25,NY Giants,0.4
25,Minnesota,0.4
30,Green Bay,0.8
31,Miami,0.9
32,LA Chargers,1.3
