Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Philadelphia,3.98%,3.49%,8.00%,5.47%,2.27%,1.92%
2,NY Jets,3.29%,3.49%,4.00%,3.09%,3.51%,1.19%
3,Pittsburgh,3.27%,4.95%,2.94%,3.91%,2.74%,2.32%
4,Buffalo,3.06%,0.00%,0.00%,3.85%,2.60%,3.43%
5,New England,3.05%,1.08%,0.00%,2.37%,3.56%,4.09%
6,Chicago,2.77%,0.00%,0.00%,2.17%,3.21%,1.68%
7,Baltimore,2.68%,3.00%,0.00%,3.31%,2.18%,1.45%
8,Minnesota,2.56%,1.79%,0.00%,1.87%,3.39%,2.56%
9,San Francisco,2.47%,2.70%,0.00%,2.75%,2.19%,1.66%
10,Seattle,2.43%,3.96%,5.56%,2.41%,2.44%,1.67%
11,Detroit,2.37%,3.77%,2.38%,2.18%,2.65%,2.02%
12,Green Bay,2.37%,2.91%,0.00%,3.20%,1.88%,3.05%
13,Atlanta,2.36%,3.33%,4.35%,2.86%,1.88%,2.08%
14,Jacksonville,2.33%,0.97%,0.00%,1.97%,2.56%,1.29%
15,LA Chargers,2.29%,1.10%,3.45%,2.42%,2.17%,1.97%
16,Cincinnati,2.17%,1.89%,0.00%,3.39%,1.60%,2.68%
17,Houston,2.10%,0.00%,0.00%,1.31%,2.78%,3.11%
18,Tennessee,2.04%,0.85%,0.00%,2.65%,1.59%,2.56%
19,Dallas,2.02%,0.00%,0.00%,2.63%,1.28%,4.24%
20,Carolina,1.95%,2.04%,0.00%,1.59%,2.52%,1.75%
21,Tampa Bay,1.91%,1.03%,2.70%,1.23%,2.45%,2.50%
22,Washington,1.88%,4.76%,4.00%,1.48%,2.35%,1.84%
23,LA Rams,1.62%,0.93%,2.38%,3.18%,0.47%,2.96%
24,Arizona,1.60%,0.88%,0.00%,1.74%,1.44%,2.25%
25,Denver,1.60%,0.00%,0.00%,1.75%,1.46%,2.31%
26,Miami,1.55%,1.96%,5.13%,2.49%,0.00%,2.30%
27,Kansas City,1.50%,3.19%,8.33%,1.52%,1.48%,2.19%
28,NY Giants,1.12%,3.23%,6.67%,1.13%,1.11%,2.45%
28,Indianapolis,1.12%,0.00%,0.00%,1.23%,1.03%,3.18%
30,Las Vegas,1.06%,1.04%,2.70%,1.40%,0.85%,0.94%
31,Cleveland,0.87%,0.00%,0.00%,0.45%,1.64%,2.26%
32,New Orleans,0.53%,0.00%,0.00%,0.54%,0.52%,3.04%
