Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Chicago,35.8,35.0,29.0,37.8,34.4,27.9
2,Philadelphia,34.4,34.0,49.0,35.3,33.2,31.5
3,Atlanta,32.5,29.0,29.0,36.3,28.7,23.1
4,NY Giants,32.5,31.3,21.0,34.3,30.2,24.6
5,Cleveland,31.8,28.0,34.0,33.7,29.6,28.5
6,Baltimore,30.8,35.0,35.0,32.0,29.8,30.4
7,Dallas,30.5,36.7,39.0,29.0,32.2,27.4
8,Washington,30.4,42.0,37.0,28.7,32.2,28.1
9,Tennessee,29.5,25.3,21.0,26.4,32.2,32.1
10,Detroit,28.2,32.0,28.0,25.8,31.0,25.1
10,San Francisco,28.2,32.7,29.0,31.6,25.3,29.3
12,Jacksonville,26.8,24.3,20.0,28.2,25.7,23.1
13,Buffalo,26.8,33.0,37.0,24.0,28.1,27.1
14,Pittsburgh,26.6,34.3,36.0,29.8,24.0,23.9
15,Arizona,26.5,28.0,34.0,25.5,27.5,28.6
16,Carolina,26.3,36.7,46.0,28.6,23.0,26.8
17,New England,26.0,17.7,14.0,25.0,27.0,28.3
18,Denver,25.7,24.0,19.0,29.6,22.5,26.8
19,NY Jets,25.5,29.7,32.0,25.2,25.8,22.4
20,Green Bay,25.3,26.3,21.0,30.2,21.7,25.9
21,New Orleans,25.0,20.3,22.0,28.8,21.2,30.0
22,Cincinnati,24.9,30.3,28.0,31.0,21.4,25.0
23,Kansas City,24.5,28.0,30.0,22.5,27.0,25.2
23,Seattle,24.5,23.7,23.0,24.0,25.0,24.3
25,Indianapolis,24.3,27.0,25.0,24.3,24.3,29.4
26,Las Vegas,23.8,29.3,40.0,27.5,21.7,23.8
27,Miami,23.7,27.3,26.0,24.3,23.0,26.0
28,Minnesota,23.4,23.0,27.0,26.2,20.0,26.4
29,LA Chargers,22.7,19.7,13.0,22.4,23.0,24.9
30,LA Rams,22.6,26.0,28.0,21.5,24.0,25.7
31,Tampa Bay,22.5,28.0,20.0,15.6,28.2,22.6
32,Houston,21.5,16.3,14.0,21.6,21.5,24.7
