Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Tennessee,14.5,17.0,15.0,13.8,15.0,13.4
2,Pittsburgh,13.9,12.7,12.0,14.6,13.3,12.1
3,Cincinnati,13.7,14.0,12.0,12.5,14.4,12.8
4,Philadelphia,13.6,9.7,8.0,14.0,13.2,10.4
5,New England,13.4,10.3,11.0,12.2,14.7,12.4
6,Denver,13.2,13.0,8.0,13.8,12.7,13.0
7,Jacksonville,13.1,13.3,16.0,12.8,13.3,9.8
7,NY Giants,13.1,11.0,9.0,12.5,13.8,12.3
9,Buffalo,12.7,13.7,14.0,15.3,11.4,13.6
10,Washington,12.4,11.0,10.0,13.5,11.3,11.6
11,NY Jets,12.4,10.3,11.0,13.2,11.4,10.9
12,Baltimore,12.3,10.0,8.0,11.8,12.7,13.2
13,Detroit,12.2,14.3,18.0,13.7,10.4,10.9
13,Tampa Bay,12.2,12.7,14.0,11.6,12.7,13.9
15,Kansas City,12.0,9.3,10.0,11.8,12.2,12.5
16,New Orleans,11.9,11.7,11.0,12.0,11.8,13.1
17,Houston,11.6,11.3,18.0,10.4,12.7,10.8
18,Carolina,11.6,12.0,16.0,13.9,8.4,10.5
19,San Francisco,11.5,14.0,12.0,12.4,10.8,10.8
20,Miami,11.4,12.3,13.0,13.0,9.4,13.8
20,Seattle,11.4,9.7,11.0,11.8,11.0,12.6
22,Dallas,11.3,11.0,14.0,10.5,12.2,14.3
22,LA Chargers,11.3,11.3,11.0,12.0,10.7,11.9
24,Atlanta,11.3,7.3,9.0,12.3,10.2,10.9
24,Arizona,11.3,11.0,12.0,10.5,12.0,11.0
26,Cleveland,11.1,10.0,14.0,12.7,9.2,12.3
27,Minnesota,10.9,9.7,11.0,10.5,11.4,13.2
28,LA Rams,10.7,10.7,15.0,7.2,15.0,13.0
29,Green Bay,9.8,12.0,12.0,8.4,10.7,12.9
30,Las Vegas,9.7,8.0,10.0,11.5,8.7,12.0
31,Indianapolis,9.4,9.7,8.0,7.5,11.3,12.2
32,Chicago,8.8,7.0,7.0,10.6,7.6,9.6
