Rank,Team,2021 special-teams-touchdowns-per-game
1,Dallas,0.2
2,Jacksonville,0.1
2,Minnesota,0.1
2,Indianapolis,0.1
5,Washington,0.1
5,Chicago,0.1
5,NY Jets,0.1
5,Miami,0.1
5,Houston,0.1
5,Carolina,0.1
5,LA Chargers,0.1
5,Seattle,0.1
13,Pittsburgh,0.1
14,San Francisco,0.1
15,LA Rams,0.0
16,Atlanta,0.0
16,New Orleans,0.0
16,Las Vegas,0.0
16,Detroit,0.0
16,Tennessee,0.0
16,Cleveland,0.0
16,Tampa Bay,0.0
16,Arizona,0.0
16,New England,0.0
16,Kansas City,0.0
16,Denver,0.0
16,Buffalo,0.0
16,NY Giants,0.0
16,Green Bay,0.0
16,Cincinnati,0.0
16,Baltimore,0.0
16,Philadelphia,0.0
